ExpID,,Plot,Date,Depth From,Depth To,ALUM,BD,BORO,CALC,CEC,CHLO,COPP,ELEC,IRON,MAGN,MANG,NH4,NO3,ORGC,PH,PHOS,POTA,RESID,RESIDCN,SODI,SULF,SWC,TOTN,ZINC
3,,206,20/07/1992,60,90,,1.5,,,,,,,,,,0,0.5,,,,,,,,,0.356999993,,
3,,206,26/10/1992,0,20,,1.200000048,,,,,,,,,,59.59999847,3.5,,,,,,,,,0.140400007,,
3,,206,26/10/1992,20,40,,1.5,,,,,,,,,,7.400000095,2.400000095,,,,,,,,,0.203999996,,
3,,206,26/10/1992,40,60,,1.399999976,,,,,,,,,,3.599999905,1.700000048,,,,,,,,,0.188999996,,
3,,206,26/10/1992,60,90,,1.5,,,,,,,,,,1.399999976,1.799999952,,,,,,,,,0.303000003,,
3,,206,26/10/1992,90,120,,1.600000024,,,,,,,,,,0.600000024,0.899999976,,,,,,,,,0.423999995,,
3,,206,28/01/1993,0,20,,1.200000048,,,,,,,,,,37,20.39999962,,,,,,,,,0.211199999,,
3,,206,28/01/1993,20,40,,1.399999976,,,,,,,,,,4.199999809,12,,,,,,,,,0.221200004,,
3,,206,28/01/1993,40,60,,1.299999952,,,,,,,,,,0.600000024,8.600000381,,,,,,,,,0.226199999,,
3,,206,28/01/1993,60,90,,1.299999952,,,,,,,,,,0.600000024,8.199999809,,,,,,,,,0.280800015,,
3,,206,28/01/1993,90,120,,1.299999952,,,,,,,,,,0.400000006,6.400000095,,,,,,,,,0.339300007,,
3,,206,28/01/1993,120,150,,1.5,,,,,,,,,,0.5,2.299999952,,,,,,,,,0.421499997,,
3,,206,3/3/1993,0,20,,1.200000048,,,,,,,,,,1,8.5,,,,,,,,,0.218400002,,
3,,206,3/3/1993,20,40,,1.399999976,,,,,,,,,,0.699999988,7.699999809,,,,,,,,,0.259000003,,
3,,206,3/3/1993,40,60,,1.299999952,,,,,,,,,,0.400000006,7.800000191,,,,,,,,,0.296400011,,
3,,206,3/3/1993,60,90,,1.299999952,,,,,,,,,,0.300000012,6.800000191,,,,,,,,,0.34709999,,
3,,206,4/6/1993,0,20,,1.200000048,,,,,,,,,,0.400000006,2.799999952,,,,,,,,,0.298799992,,
3,,206,4/6/1993,20,40,,1.399999976,,,,,,,,,,0.5,3,,,,,,,,,0.320600003,,
3,,206,4/6/1993,40,60,,1.299999952,,,,,,,,,,0.100000001,1.299999952,,,,,,,,,0.302899987,,
3,,206,4/6/1993,60,90,,1.299999952,,,,,,,,,,0,1.200000048,,,,,,,,,0.340600014,,
3,,206,11/11/1993,0,20,,1.210000038,,,,,,,,,,0.400000006,0.300000012,,,,,,,,,,,
3,,206,11/11/1993,20,40,,1.409999967,,,,,,,,,,0.300000012,0.200000003,,,,,,,,,,,
3,,206,11/11/1993,40,60,,1.350000024,,,,,,,,,,0,0.300000012,,,,,,,,,,,
3,,206,11/11/1993,60,90,,1.370000005,,,,,,,,,,0,0.400000006,,,,,,,,,,,
3,,206,11/11/1993,90,120,,0.99000001,,,,,,,,,,0,0.300000012,,,,,,,,,,,
3,,206,11/11/1993,120,150,,1.49000001,,,,,,,,,,0,0.200000003,,,,,,,,,,,
3,,207,21/07/1991,0,20,0.01,,0.02,6.320000172,8.229999542,20,2.099999905,0.050000001,188,1.649999976,32,,3.400000095,1,5.599999905,140,0.150000006,,,0.100000001,6,,,3.700000048
3,,207,20/07/1992,0,20,,1.200000048,,,,,,,,,,6.199999809,3.099999905,,,,,,,,,0.038400002,,
3,,207,20/07/1992,20,40,,1.399999976,,,,,,,,,,4,2.799999952,,,,,,,,,0.25060001,,
3,,207,20/07/1992,40,60,,1.399999976,,,,,,,,,,1.100000024,1.399999976,,,,,,,,,0.298200011,,
3,,207,20/07/1992,60,90,,1.5,,,,,,,,,,0,0.400000006,,,,,,,,,0.367500007,,
3,,207,26/10/1992,0,20,,1.200000048,,,,,,,,,,76.40000153,7.5,,,,,,,,,0.169200003,,
3,,207,26/10/1992,20,40,,1.399999976,,,,,,,,,,16.89999962,8.300000191,,,,,,,,,0.224000007,,
3,,207,26/10/1992,40,60,,1.399999976,,,,,,,,,,1.600000024,1.899999976,,,,,,,,,0.2324,,
